Name,Team,Number,Position,Age,Height,Weight,College,Salary
Leandro Barbosa,Golden State Warriors,19,SG,33,6-3,194,,2500000
Ian Clark,Golden State Warriors,21,SG,25,6-3,175,Belmont,947276
Stephen Curry,Golden State Warriors,30,PG,28,6-3,190,Davidson,11370786
Pablo Prigioni,Los Angeles Clippers,9,PG,39,6-3,185,,947726
Marcelo Huertas,Los Angeles Lakers,9,PG,33,6-3,200,,525093
Brandon Knight,Phoenix Suns,3,PG,24,6-3,189,Kentucky,13500000
Derrick Rose,Chicago Bulls,1,PG,27,6-3,190,Memphis,20093064
Kyrie Irving,Cleveland Cavaliers,2,PG,24,6-3,193,Duke,16407501
Steve Blake,Detroit Pistons,22,PG,36,6-3,172,Maryland,2170465
Reggie Jackson,Detroit Pistons,1,PG,26,6-3,208,Boston College,13913044
Monta Ellis,Indiana Pacers,11,SG,30,6-3,185,,10300000
George Hill,Indiana Pacers,3,PG,30,6-3,188,IUPUI,8000000
Jerryd Bayless,Milwaukee Bucks,19,PG,27,6-3,200,Arizona,3000000
Tyler Ennis,Milwaukee Bucks,11,PG,21,6-3,194,Syracuse,1662360
Devin Harris,Dallas Mavericks,34,PG,33,6-3,185,Wisconsin,4053446
Deron Williams,Dallas Mavericks,8,PG,31,6-3,200,Illinois,5378974
Andrew Goudelock,Houston Rockets,0,PG,27,6-3,200,Charleston,200600
Ray McCallum,Memphis Grizzlies,5,PG,24,6-3,190,Detroit,
Xavier Munford,Memphis Grizzlies,14,PG,24,6-3,180,Rhode Island,
Andre Miller,San Antonio Spurs,24,PG,40,6-3,200,Utah,250750
Jorge Gutierrez,Charlotte Hornets,12,PG,27,6-3,189,California,189455
Jeremy Lin,Charlotte Hornets,7,PG,27,6-3,200,Harvard,2139000
Goran Dragic,Miami Heat,7,PG,30,6-3,190,,14783000
Ramon Sessions,Washington Wizards,7,PG,30,6-3,190,Nevada,2170465
Cameron Payne,Oklahoma City Thunder,22,PG,21,6-3,185,Murray State,2021520
Russell Westbrook,Oklahoma City Thunder,0,PG,27,6-3,200,UCLA,16744218
Damian Lillard,Portland Trail Blazers,0,PG,25,6-3,195,Weber State,4236287
Shelvin Mack,Utah Jazz,8,PG,26,6-3,203,Butler,2433333
Marcus Smart,Boston Celtics,36,PG,22,6-4,220,Oklahoma State,3431040
Wayne Ellington,Brooklyn Nets,21,SG,28,6-4,200,North Carolina,1500000
Sean Kilpatrick,Brooklyn Nets,6,SG,26,6-4,219,Cincinnati,134215
Jerian Grant,New York Knicks,13,PG,23,6-4,195,Notre Dame,1572360
Kendall Marshall,Philadelphia 76ers,5,PG,24,6-4,200,North Carolina,2144772
Norman Powell,Toronto Raptors,24,SG,23,6-4,215,UCLA,650000
JJ Redick,Los Angeles Clippers,4,SG,31,6-4,190,Duke,7085000
Austin Rivers,Los Angeles Clippers,25,PG,23,6-4,200,Duke,3110796
John Jenkins,Phoenix Suns,23,SG,25,6-4,215,Vanderbilt,981348
E'Twaun Moore,Chicago Bulls,55,SG,27,6-4,191,Purdue,1015421
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,6-4,198,Saint Mary's,1147276
Jodie Meeks,Detroit Pistons,20,SG,28,6-4,210,Kentucky,6270000
Jared Cunningham,Milwaukee Bucks,9,SG,25,6-4,195,Oregon State,947276
Tony Allen,Memphis Grizzlies,9,SG,34,6-4,213,Oklahoma State,5158539
Eric Gordon,New Orleans Pelicans,10,SG,27,6-4,215,Indiana,15514031
Jrue Holiday,New Orleans Pelicans,11,PG,25,6-4,205,UCLA,10595507
Kirk Hinrich,Atlanta Hawks,12,SG,35,6-4,190,Kansas,2854940
Troy Daniels,Charlotte Hornets,30,SG,24,6-4,205,Virginia Commonwealth,947276
Tyler Johnson,Miami Heat,8,SG,24,6-4,186,Fresno State,845059
Dwyane Wade,Miami Heat,3,SG,34,6-4,220,Marquette,20000000
Victor Oladipo,Orlando Magic,5,SG,24,6-4,210,Indiana,5192520
Elfrid Payton,Orlando Magic,4,PG,22,6-4,185,Louisiana-Lafayette,2505720
Marcus Thornton,Washington Wizards,15,SF,29,6-4,205,LSU,200600
John Wall,Washington Wizards,2,PG,25,6-4,195,Kentucky,15851950
Gary Harris,Denver Nuggets,14,SG,21,6-4,210,Michigan State,1584480
Ricky Rubio,Minnesota Timberwolves,9,PG,25,6-4,194,,12700000
Randy Foye,Oklahoma City Thunder,6,SG,32,6-4,213,Villanova,3135000
Dion Waiters,Oklahoma City Thunder,3,SG,24,6-4,220,Syracuse,5138430
C.J. McCollum,Portland Trail Blazers,3,SG,24,6-4,200,Lehigh,2525160
John Holland,Boston Celtics,30,SG,27,6-5,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,6-5,185,Georgia State,1148640
Arron Afflalo,New York Knicks,4,SG,30,6-5,210,UCLA,8000000
Delon Wright,Toronto Raptors,55,PG,24,6-5,190,Utah,1509360
Jamal Crawford,Los Angeles Clippers,11,SG,36,6-5,195,Michigan,5675000
C.J. Wilcox,Los Angeles Clippers,30,SG,25,6-5,195,Washington,1159680
Jordan Clarkson,Los Angeles Lakers,6,PG,24,6-5,194,Missouri,845059
D'Angelo Russell,Los Angeles Lakers,1,PG,20,6-5,195,Ohio State,5103120
Archie Goodwin,Phoenix Suns,20,SG,21,6-5,200,Kentucky,1160160
Marco Belinelli,Sacramento Kings,3,SG,30,6-5,210,,6060606
Ben McLemore,Sacramento Kings,23,SG,23,6-5,195,Kansas,3156600
Jordan McRae,Cleveland Cavaliers,12,SG,25,6-5,179,Tennessee,111196
Iman Shumpert,Cleveland Cavaliers,4,SG,25,6-5,220,Georgia Tech,8988765
Lorenzo Brown,Detroit Pistons,17,PG,25,6-5,189,North Carolina State,111444
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,6-5,205,Georgia,2891760
Rodney Stuckey,Indiana Pacers,2,PG,30,6-5,205,Eastern Washington,7000000
O.J. Mayo,Milwaukee Bucks,3,SG,28,6-5,210,USC,8000000
Wesley Matthews,Dallas Mavericks,23,SG,29,6-5,220,Marquette,16407500
James Harden,Houston Rockets,13,SG,26,6-5,220,Arizona State,15756438
Jordan Adams,Memphis Grizzlies,3,SG,21,6-5,209,UCLA,1404600
Lance Stephenson,Memphis Grizzlies,1,SF,25,6-5,230,Cincinnati,9000000
Orlando Johnson,New Orleans Pelicans,0,SG,27,6-5,220,UC Santa Barbara,55722
Kent Bazemore,Atlanta Hawks,24,SF,26,6-5,201,Old Dominion,2000000
Lamar Patterson,Atlanta Hawks,13,SG,24,6-5,225,Pittsburgh,525093
Jeremy Lamb,Charlotte Hornets,3,SG,24,6-5,185,Connecticut,3034356
Courtney Lee,Charlotte Hornets,1,SG,30,6-5,200,Western Kentucky,5675000
Bradley Beal,Washington Wizards,3,SG,22,6-5,207,Florida,5694674
Emmanuel Mudiay,Denver Nuggets,0,PG,20,6-5,200,,3102240
Zach LaVine,Minnesota Timberwolves,8,PG,21,6-5,189,UCLA,2148360
Anthony Morrow,Oklahoma City Thunder,2,SG,30,6-5,210,Georgia Tech,3344000
Pat Connaughton,Portland Trail Blazers,5,SG,23,6-5,206,Notre Dame,625093
Gerald Henderson,Portland Trail Blazers,9,SG,28,6-5,215,Duke,6000000
Jae Crowder,Boston Celtics,99,SF,25,6-6,235,Marquette,6796117
James Young,Boston Celtics,13,SG,20,6-6,215,Kentucky,1749840
Tony Wroten,New York Knicks,5,SG,23,6-6,205,Washington,167406
Nik Stauskas,Philadelphia 76ers,11,SG,22,6-6,205,Michigan,2869440
Andre Iguodala,Golden State Warriors,9,SF,32,6-6,215,Arizona,11710456
Brandon Rush,Golden State Warriors,4,SF,30,6-6,220,Kansas,1270964
Branden Dawson,Los Angeles Clippers,22,SF,23,6-6,225,Michigan State,525093
Kobe Bryant,Los Angeles Lakers,24,SF,37,6-6,212,,25000000
Devin Booker,Phoenix Suns,1,SG,19,6-6,206,Kentucky,2127840
P.J. Tucker,Phoenix Suns,17,SF,31,6-6,245,Texas,5500000
James Anderson,Sacramento Kings,5,SG,27,6-6,213,Oklahoma State,1015421
Justin Holiday,Chicago Bulls,7,SG,27,6-6,185,Washington,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,6-6,225,Duke,
J.R. Smith,Cleveland Cavaliers,5,SG,30,6-6,225,,5000000
Spencer Dinwiddie,Detroit Pistons,8,PG,23,6-6,200,Colorado,845059
Darrun Hilliard,Detroit Pistons,6,SF,23,6-6,205,Villanova,600000
C.J. Miles,Indiana Pacers,0,SF,29,6-6,231,,4394225
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,6-6,190,Syracuse,2399040
Greivis Vasquez,Milwaukee Bucks,21,PG,29,6-6,217,Maryland,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,6-6,202,UNLV,1733040
Justin Anderson,Dallas Mavericks,1,SG,22,6-6,228,Virginia,1449000
K.J. McDaniels,Houston Rockets,32,SG,23,6-6,205,Clemson,3189794
Vince Carter,Memphis Grizzlies,15,SG,39,6-6,220,North Carolina,4088019
P.J. Hairston,Memphis Grizzlies,19,SF,23,6-6,230,North Carolina,1201440
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,6-6,203,Iowa State,169883
Tyreke Evans,New Orleans Pelicans,1,SG,26,6-6,220,Memphis,10734586
Alonzo Gee,New Orleans Pelicans,15,SF,29,6-6,225,Alabama,1320000
Manu Ginobili,San Antonio Spurs,20,SG,38,6-6,205,,2814000
Danny Green,San Antonio Spurs,14,SG,28,6-6,215,North Carolina,10000000
Jonathon Simmons,San Antonio Spurs,17,SG,26,6-6,195,Houston,525093
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,6-6,205,Michigan,1304520
Aaron Harrison,Charlotte Hornets,9,SG,21,6-6,210,Kentucky,525093
Josh Richardson,Miami Heat,0,SG,22,6-6,200,Tennessee,525093
Devyn Marble,Orlando Magic,11,SF,23,6-6,200,Iowa,845059
Alan Anderson,Washington Wizards,6,SG,33,6-6,220,Michigan State,4000000
Garrett Temple,Washington Wizards,17,SG,30,6-6,195,LSU,1100602
Will Barton,Denver Nuggets,5,SF,25,6-6,175,Memphis,3533333
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,6-6,223,UCLA,2056920
Allen Crabbe,Portland Trail Blazers,23,SG,24,6-6,210,California,947276
Alec Burks,Utah Jazz,10,SG,24,6-6,214,Colorado,9463484
Dante Exum,Utah Jazz,11,PG,20,6-6,190,,3777720
Chris Johnson,Utah Jazz,23,SF,26,6-6,206,Dayton,981348
Evan Turner,Boston Celtics,11,SG,27,6-7,220,Ohio State,3425510
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,6-7,220,Arizona,1335480
Sergey Karasev,Brooklyn Nets,10,SG,22,6-7,208,,1599840
Thanasis Antetokounmpo,New York Knicks,43,SF,23,6-7,205,,30888
Sasha Vujacic,New York Knicks,18,SG,32,6-7,195,,947276
DeMar DeRozan,Toronto Raptors,10,SG,26,6-7,220,USC,10050000
Terrence Ross,Toronto Raptors,31,SF,25,6-7,195,Washington,3553917
Draymond Green,Golden State Warriors,23,PF,26,6-7,230,Michigan State,14260870
Shaun Livingston,Golden State Warriors,34,PG,30,6-7,192,,5543725
Klay Thompson,Golden State Warriors,11,SG,26,6-7,215,Washington State,15501000
Wesley Johnson,Los Angeles Clippers,33,SF,28,6-7,215,Syracuse,1100602
Paul Pierce,Los Angeles Clippers,34,SF,38,6-7,235,Kansas,3376000
Anthony Brown,Los Angeles Lakers,3,SF,23,6-7,210,Stanford,700000
Metta World Peace,Los Angeles Lakers,37,SF,36,6-7,260,St. John's,947276
Nick Young,Los Angeles Lakers,0,SF,31,6-7,210,USC,5219169
Chase Budinger,Phoenix Suns,10,SF,28,6-7,209,Arizona,206192
Quincy Acy,Sacramento Kings,13,SF,25,6-7,240,Baylor,981348
Caron Butler,Sacramento Kings,31,SF,36,6-7,228,Connecticut,1449187
Jimmy Butler,Chicago Bulls,21,SG,26,6-7,220,Marquette,16407500
Tony Snell,Chicago Bulls,20,SF,24,6-7,200,New Mexico,1535880
Richard Jefferson,Cleveland Cavaliers,24,SF,35,6-7,233,Arizona,947276
Reggie Bullock,Detroit Pistons,25,SF,25,6-7,205,North Carolina,1252440
Stanley Johnson,Detroit Pistons,3,SF,20,6-7,245,Arizona,2841960
Solomon Hill,Indiana Pacers,44,SF,25,6-7,225,Arizona,1358880
Glenn Robinson III,Indiana Pacers,40,SG,22,6-7,222,Michigan,1100000
Matt Barnes,Memphis Grizzlies,22,SF,36,6-7,226,UCLA,3542500
James Ennis,New Orleans Pelicans,4,SF,25,6-7,210,Long Beach State,845059
Jordan Hamilton,New Orleans Pelicans,25,SG,25,6-7,220,Texas,1015421
Quincy Pondexter,New Orleans Pelicans,20,SF,28,6-7,220,Washington,3382023
Kawhi Leonard,San Antonio Spurs,2,SF,24,6-7,230,San Diego State,16407500
Kevin Martin,San Antonio Spurs,23,SG,33,6-7,199,Western Carolina,200600
Kyle Korver,Atlanta Hawks,26,SG,35,6-7,212,Creighton,5746479
Thabo Sefolosha,Atlanta Hawks,25,SF,32,6-7,220,,4000000
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,6-7,232,Kentucky,6331404
Gerald Green,Miami Heat,14,SF,30,6-7,205,,947276
Joe Johnson,Miami Heat,2,SF,34,6-7,240,Arkansas,261894
Justise Winslow,Miami Heat,20,SF,20,6-7,225,Duke,2481720
Evan Fournier,Orlando Magic,10,SG,23,6-7,205,,2288205
Jared Dudley,Washington Wizards,1,SF,30,6-7,225,Boston College,4375000
Jarell Eddie,Washington Wizards,8,SG,24,6-7,218,Virginia Tech,561716
Kelly Oubre Jr.,Washington Wizards,12,SF,20,6-7,205,Kansas,1920240
Axel Toupane,Denver Nuggets,6,SG,23,6-7,210,,
Josh Huestis,Oklahoma City Thunder,34,SF,24,6-7,230,Stanford,1140240
Andre Roberson,Oklahoma City Thunder,21,SG,24,6-7,210,Colorado,1210800
Luis Montero,Portland Trail Blazers,44,SG,23,6-7,185,Westchester CC,525093
Jordan Mickey,Boston Celtics,55,PF,21,6-8,235,LSU,1170960
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,6-8,216,,3425510
Thaddeus Young,Brooklyn Nets,30,PF,27,6-8,221,Georgia Tech,11235955
Carmelo Anthony,New York Knicks,7,SF,32,6-8,240,Syracuse,22875000
Cleanthony Early,New York Knicks,11,SF,25,6-8,210,Wichita State,845059
Lance Thomas,New York Knicks,42,SF,28,6-8,235,Duke,1636842
Derrick Williams,New York Knicks,23,PF,25,6-8,240,Arizona,4000000
Jerami Grant,Philadelphia 76ers,39,SF,22,6-8,210,Syracuse,845059
Hollis Thompson,Philadelphia 76ers,31,SG,25,6-8,206,Georgetown,947276
DeMarre Carroll,Toronto Raptors,5,SF,29,6-8,212,Missouri,13600000
Harrison Barnes,Golden State Warriors,40,SF,24,6-8,225,North Carolina,3873398
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,6-8,230,UCLA,947276
Brandon Bass,Los Angeles Lakers,2,PF,31,6-8,250,LSU,3000000
T.J. Warren,Phoenix Suns,12,SF,22,6-8,230,North Carolina State,2041080
Alan Williams,Phoenix Suns,15,C,23,6-8,260,UC Santa Barbara,83397
Rudy Gay,Sacramento Kings,8,SF,29,6-8,230,Connecticut,12403101
Doug McDermott,Chicago Bulls,3,SF,24,6-8,225,Creighton,2380440
LeBron James,Cleveland Cavaliers,23,SF,31,6-8,250,,22970500
James Jones,Cleveland Cavaliers,1,SG,35,6-8,218,Miami (FL),947276
Anthony Tolliver,Detroit Pistons,43,PF,31,6-8,240,Creighton,3000000
Damien Inglis,Milwaukee Bucks,17,SF,21,6-8,246,,855000
Khris Middleton,Milwaukee Bucks,22,SG,24,6-8,234,Texas A&M,14700000
Jabari Parker,Milwaukee Bucks,12,PF,21,6-8,250,Duke,5152440
Trevor Ariza,Houston Rockets,1,SF,30,6-8,215,UCLA,8193030
Montrezl Harrell,Houston Rockets,35,PF,22,6-8,240,Louisville,1000000
Dante Cunningham,New Orleans Pelicans,44,PF,29,6-8,230,Villanova,2850000
Boris Diaw,San Antonio Spurs,33,C,34,6-8,250,,7500000
Paul Millsap,Atlanta Hawks,4,PF,31,6-8,246,Louisiana Tech,18671659
Mike Scott,Atlanta Hawks,32,PF,27,6-8,237,Virginia,3333333
Nicolas Batum,Charlotte Hornets,5,SG,27,6-8,200,,13125306
Udonis Haslem,Miami Heat,40,PF,36,6-8,235,Florida,2854940
Mario Hezonja,Orlando Magic,23,SG,21,6-8,218,,3741480
Otto Porter Jr.,Washington Wizards,22,SF,23,6-8,198,Georgetown,4662960
Wilson Chandler,Denver Nuggets,21,SF,29,6-8,225,DePaul,10449438
Kenneth Faried,Denver Nuggets,35,PF,26,6-8,228,Morehead State,11235955
Mike Miller,Denver Nuggets,3,SG,36,6-8,218,Florida,947276
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,6-8,199,Kansas,5758680
Kyle Singler,Oklahoma City Thunder,5,SF,28,6-8,228,Duke,4500000
Cliff Alexander,Portland Trail Blazers,34,PF,20,6-8,240,Kansas,525093
Trevor Booker,Utah Jazz,33,PF,28,6-8,228,Clemson,4775000
Gordon Hayward,Utah Jazz,20,SF,26,6-8,226,Butler,15409570
Rodney Hood,Utah Jazz,5,SG,23,6-8,206,Duke,1348440
Joe Ingles,Utah Jazz,2,SF,28,6-8,226,,2050000
Amir Johnson,Boston Celtics,90,PF,29,6-9,240,,12000000
Jared Sullinger,Boston Celtics,7,C,24,6-9,260,Ohio State,2569260
Lou Amundson,New York Knicks,17,PF,33,6-9,220,UNLV,1635476
Elton Brand,Philadelphia 76ers,42,PF,37,6-9,254,Duke,
Robert Covington,Philadelphia 76ers,33,SF,25,6-9,215,Tennessee State,1000000
Carl Landry,Philadelphia 76ers,7,PF,32,6-9,248,Purdue,6500000
Bismack Biyombo,Toronto Raptors,8,C,23,6-9,245,,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,6-9,205,,1524000
James Johnson,Toronto Raptors,3,PF,29,6-9,250,Wake Forest,2500000
Patrick Patterson,Toronto Raptors,54,PF,27,6-9,235,Kentucky,6268675
Luis Scola,Toronto Raptors,4,PF,36,6-9,240,,2900000
Kevon Looney,Golden State Warriors,36,SF,20,6-9,220,UCLA,1131960
James Michael McAdoo,Golden State Warriors,20,SF,23,6-9,240,North Carolina,845059
Jeff Ayres,Los Angeles Clippers,19,PF,29,6-9,250,Arizona State,111444
Jeff Green,Los Angeles Clippers,8,SF,29,6-9,235,Georgetown,9650000
Tarik Black,Los Angeles Lakers,28,C,24,6-9,250,Kansas,845059
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,6-9,230,Wyoming,1155600
Julius Randle,Los Angeles Lakers,30,PF,21,6-9,250,Kentucky,3132240
Mirza Teletovic,Phoenix Suns,35,PF,30,6-9,242,,5500000
Omri Casspi,Sacramento Kings,18,SF,27,6-9,225,,2836186
Duje Dukan,Sacramento Kings,26,PF,24,6-9,220,Wisconsin,525093
Cameron Bairstow,Chicago Bulls,41,PF,25,6-9,250,New Mexico,845059
Mike Dunleavy,Chicago Bulls,34,SG,35,6-9,230,Duke,4500000
Taj Gibson,Chicago Bulls,22,PF,30,6-9,225,USC,8500000
Tristan Thompson,Cleveland Cavaliers,13,C,25,6-9,238,Texas,14260870
Joel Anthony,Detroit Pistons,50,C,33,6-9,245,UNLV,2500000
Tobias Harris,Detroit Pistons,34,SF,23,6-9,235,Tennessee,16000000
Marcus Morris,Detroit Pistons,13,PF,26,6-9,235,Kansas,5000000
Lavoy Allen,Indiana Pacers,5,PF,27,6-9,255,Temple,4050000
Rakeem Christmas,Indiana Pacers,25,PF,24,6-9,250,Syracuse,1007026
Paul George,Indiana Pacers,13,SF,26,6-9,220,Fresno State,17120106
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,6-9,257,LSU,845059
Jeremy Evans,Dallas Mavericks,21,SF,28,6-9,200,Western Kentucky,1100602
David Lee,Dallas Mavericks,42,PF,33,6-9,245,Florida,2085671
Corey Brewer,Houston Rockets,33,SG,30,6-9,186,Florida,8229375
Sam Dekker,Houston Rockets,7,SF,22,6-9,230,Wisconsin,1646400
Terrence Jones,Houston Rockets,6,PF,24,6-9,252,Kentucky,2489530
Josh Smith,Houston Rockets,5,C,30,6-9,225,,947276
JaMychal Green,Memphis Grizzlies,0,PF,25,6-9,227,Alabama,845059
Zach Randolph,Memphis Grizzlies,50,PF,34,6-9,260,Michigan State,9638555
Luke Babbitt,New Orleans Pelicans,8,SF,26,6-9,225,Nevada,1100602
Kyle Anderson,San Antonio Spurs,1,SF,22,6-9,230,UCLA,1142880
David West,San Antonio Spurs,30,PF,35,6-9,250,Xavier,1499187
Kris Humphries,Atlanta Hawks,43,PF,31,6-9,235,Minnesota,1000000
Tyler Hansbrough,Charlotte Hornets,50,PF,30,6-9,250,North Carolina,947276
Marvin Williams,Charlotte Hornets,2,PF,29,6-9,237,North Carolina,7000000
Luol Deng,Miami Heat,9,SF,31,6-9,220,Duke,10151612
Dorell Wright,Miami Heat,11,SF,30,6-9,205,,
Aaron Gordon,Orlando Magic,0,PF,20,6-9,220,Arizona,4171680
Andrew Nicholson,Orlando Magic,44,PF,26,6-9,250,St. Bonaventure,2380593
JJ Hickson,Washington Wizards,21,C,27,6-9,242,North Carolina State,273038
Darrell Arthur,Denver Nuggets,0,PF,28,6-9,235,Kansas,2814000
JaKarr Sampson,Denver Nuggets,9,SG,23,6-9,214,St. John's,258489
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,6-9,212,Kentucky,947276
Damjan Rudez,Minnesota Timberwolves,10,SF,29,6-9,230,,1149500
Kevin Durant,Oklahoma City Thunder,35,SF,27,6-9,240,Texas,20158622
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,6-9,215,Wake Forest,8042895
Maurice Harkless,Portland Trail Blazers,4,SF,23,6-9,215,St. John's,2894059
Noah Vonleh,Portland Trail Blazers,21,PF,20,6-9,240,Indiana,2637720
Jonas Jerebko,Boston Celtics,8,PF,29,6-10,231,,5000000
Willie Reed,Brooklyn Nets,33,PF,26,6-10,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,6-10,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,26,6-10,248,Georgetown,947276
Kyle O'Quinn,New York Knicks,9,PF,26,6-10,250,Norfolk State,3750000
Kevin Seraphin,New York Knicks,1,C,26,6-10,278,,2814000
Richaun Holmes,Philadelphia 76ers,22,PF,22,6-10,245,Bowling Green,1074169
Marreese Speights,Golden State Warriors,5,C,28,6-10,255,Florida,3815000
Blake Griffin,Los Angeles Clippers,32,PF,27,6-10,251,Oklahoma,18907726
Jon Leuer,Phoenix Suns,30,PF,27,6-10,228,Wisconsin,1035000
Eric Moreland,Sacramento Kings,25,PF,24,6-10,238,Oregon State,845059
Cristiano Felicio,Chicago Bulls,6,PF,23,6-10,275,,525093
Nikola Mirotic,Chicago Bulls,44,PF,25,6-10,220,,5543725
Kevin Love,Cleveland Cavaliers,0,PF,27,6-10,251,UCLA,19689000
Aron Baynes,Detroit Pistons,12,C,29,6-10,260,Washington State,6500000
Jordan Hill,Indiana Pacers,27,C,28,6-10,235,Arizona,4000000
Steve Novak,Milwaukee Bucks,6,SF,32,6-10,225,Marquette,295327
Chandler Parsons,Dallas Mavericks,25,SF,27,6-10,230,Florida,15361500
Michael Beasley,Houston Rockets,8,SF,27,6-10,235,Kansas State,306527
Clint Capela,Houston Rockets,15,PF,22,6-10,240,,1242720
Chris Andersen,Memphis Grizzlies,7,PF,37,6-10,245,Blinn College,5000000
Jarell Martin,Memphis Grizzlies,10,PF,22,6-10,239,LSU,1230840
